uid,iid
0,8867
0,8868
0,760
0,3559
0,5584
0,2479
0,3675
0,571
0,3154
0,7489
0,7642
0,1245
0,5810
1,7525
1,8048
1,3325
1,7111
1,727
1,11201
1,821
1,6438
1,6783
1,8064
1,277
1,7328
2,3480
2,1648
2,2511
2,4422
2,1406
2,4372
2,4814
2,5700
2,6334
2,6099
2,6100
2,6098
2,6075
2,2637
2,1853
2,3886
2,7605
2,2394
2,8091
2,8885
2,4245
2,6172
2,7848
2,8542
2,9357
2,7626
2,8448
2,29
2,2277
2,10060
2,9510
2,10048
2,10484
2,10576
2,811
2,10567
2,10826
2,10736
2,9231
2,11586
2,11648
2,4720
2,7266
2,9669
2,6930
2,9538
2,11886
2,11815
2,11971
2,8536
2,7173
2,8833
2,9987
2,12000
2,11616
2,9992
2,12521
2,871
2,4236
2,416
2,7269
2,12675
2,12620
2,12967
2,13073
2,13087
2,9135
2,11542
2,13375
2,4588
2,2275
2,3354
2,23
2,13971
2,6247
3,7438
3,8788
3,10810
3,9952
3,10009
3,10575
3,10470
3,10773
3,10873
3,9529
3,11111
3,10626
3,11134
3,10342
3,11350
3,11374
3,11499
3,4781
3,11514
3,10232
3,11186
3,11801
3,11933
3,11997
3,10730
3,11885
3,11426
3,12099
3,12009
3,11880
3,12482
3,12564
3,12567
3,13879
3,12671
3,10354
3,12772
3,12927
3,12940
3,13053
3,13083
3,13112
3,13161
3,13162
3,13308
3,13458
3,13453
3,9493
3,11055
3,13591
3,13654
3,13834
3,13768
3,13898
3,14119
3,13916
3,13941
3,13991
3,13612
3,14058
3,13932
3,14257
3,14264
3,9284
3,14440
3,14544
3,14595
3,14643
4,9084
4,9527
4,2230
4,11231
4,11567
4,1011
4,8552
4,14377
5,6110
5,8035
5,7575
5,6612
5,8816
5,8892
5,9002
5,7018
5,8539
5,9435
5,9170
5,8823
5,9421
5,5802
5,970
5,9520
5,1982
5,11332
5,11659
5,9677
5,11456
5,8496
6,377
6,570
6,1395
6,4523
6,6542
6,7078
6,7548
6,6550
6,2497
6,101
6,669
6,971
6,2635
6,3367
6,5990
6,6093
6,6780
6,6969
6,7822
6,8783
6,9357
6,10859
6,1604
6,3140
6,4398
6,7727
6,7984
6,9946
6,10319
6,10593
6,10800
6,1965
6,8910
6,10097
6,9070
6,9287
6,10880
6,2078
6,5194
6,5497
6,8168
6,11089
6,11209
6,11340
6,11352
6,11490
6,11981
6,2465
6,5981
6,6632
6,8052
6,8969
6,11002
7,1998
7,2114
7,2958
7,4205
7,4882
7,6422
7,7552
7,13631
8,2128
8,6774
8,9174
8,10201
8,8375
8,1306
8,6860
8,6382
8,8450
9,7705
9,3093
9,6454
9,3777
9,9268
9,2632
9,11455
9,10658
10,6635
10,6979
10,5290
10,6552
10,8219
10,8408
10,9551
10,6864
10,9778
10,11294
10,12476
10,10726
10,13169
10,9287
10,12234
11,7817
11,2637
11,7855
11,8448
11,9019
11,8271
11,2004
11,10230
11,10285
11,7992
11,4001
11,10700
11,10576
11,5849
11,4918
11,11571
11,11475
11,10882
11,8417
11,12235
11,5094
11,12000
11,12661
11,10901
11,11815
11,11159
11,9494
11,12566
12,3674
12,3868
12,448
12,3727
12,3681
12,3749
12,4319
12,3847
12,4416
13,7082
13,7617
13,7194
13,7735
13,8069
13,6847
13,8600
13,8608
13,8245
13,8605
13,9128
14,3262
14,1318
14,1344
14,3791
14,4106
14,4836
14,7221
14,1530
15,1283
15,1955
15,82
15,265
15,1679
15,466
15,898
15,372
15,441
15,1201
15,1202
15,1361
15,1503
15,899
15,1222
15,341
16,2609
16,8709
16,7252
16,7575
16,8975
16,8816
16,7106
16,9872
16,11104
16,9730
16,10649
16,4871
16,11865
16,7648
16,2873
16,11334
16,12210
16,8268
16,8150
16,15613
16,13675
16,13718
16,13348
16,13347
16,13529
16,13885
16,8149
16,13955
16,13656
16,11497
16,12845
16,12842
16,12841
16,12844
16,12843
16,14640
16,14603
16,14630
16,14623
16,14784
16,13886
16,12980
16,13988
16,14858
16,15326
17,15
17,3892
17,532
17,6831
17,7055
17,7152
17,7254
17,7348
17,5061
17,12373
17,3596
17,3807
17,8422
17,5030
17,8683
17,9210
17,2491
17,1323
17,8952
17,718
17,11271
17,7845
17,14199
17,2552
17,1972
18,7539
18,6653
18,8889
18,9399
18,8148
18,11194
18,6998
18,9396
18,12209
18,8268
18,13709
18,13742
18,14263
19,3674
19,3681
19,3944
19,3727
19,3749
19,4043
19,4242
19,4241
19,3847
19,3699
19,4319
19,1328
19,3868
20,3681
20,3699
20,3847
20,3749
20,4319
20,3944
20,3727
20,3674
20,4476
20,4682
20,4392
20,4043
21,5003
21,2954
21,5889
21,6050
21,4818
21,6297
21,6336
21,6652
21,7145
21,6755
21,6422
21,6454
21,8433
21,8472
21,23
21,8971
21,9651
22,11663
22,11179
22,12604
22,13321
22,14060
22,7819
22,14854
22,14760
22,14790
23,1851
23,2745
23,421
23,3191
23,569
23,3941
23,4509
23,10182
23,10290
24,3017
24,1930
24,3533
24,8561
24,9784
24,5276
24,10050
24,431
24,4518
24,10789
24,11855
24,7971
24,193
24,13635
24,13062
24,12779
25,2832
25,7385
25,6110
25,7865
25,10492
25,1609
25,9413
25,7067
25,13833
26,713
26,1369
26,7516
26,5349
26,7958
26,11026
26,10219
26,9720
26,6541
27,280
27,1025
27,3663
27,4258
27,5148
27,4241
27,156
27,1541
27,5381
27,6099
27,6047
27,660
27,2015
27,1847
27,6056
27,3557
27,5714
27,3652
27,4392
27,2078
27,7661
27,3088
